Name,From,To,Country,Type,Unit,SpecificWeight,Volume,N,Norg,Nmin,N-slow,N-ureum,NH4,NO3,N-Amide,P2O5,K2O,MgO,CaO,SO3,Na2O,Cl,Cu,Co,B,Mo,Fe,Mn,Zn,SiO2,Se,Pb,CODE_NL_CL022
Ammoniumnitraat vloeibaar,,,NL,MAN,LIT,1.24,,18,,,,,,,,,,,,,,,,,,,,,,,,,2100
Chilisalpeter,,,NL,MAN,KG,,,16,,,,,,,,,,,,,35,,,,0.2,,,,,,,,2101
KAS 27 (Kalkammonsalpeter),,,NL,MAN,KG,,,27,,,,,,,,,,,12,,,,,,,,,,,,,,2102
Magnesamon (MAS),,,NL,MAN,KG,,,22,,,,,,,,,,7,10.5,,,,,,,,,,,,,,2103
Urean 30 N,,,NL,MAN,LIT,1.32,,30,,,,,,,,,,,,,,,,,,,,,,,,,2104
Ureum gegranuleerd,,,NL,MAN,KG,,,46,,,,,,,,,,,,,,,,,,,,,,,,,2105
Ureum oplossing 18.4%,,,NL,MAN,LIT,1.1,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,2106
Vloeibare ammoniak,,,NL,MAN,LIT,0.62,,82,,,,,,,,,,,,,,,,,,,,,,,,,2107
Zwavelzure ammoniak,,,NL,MAN,KG,,,21,,,,,,,,,,,,60,,,,,,,,,,,,,2108
Superfosfaat,,,NL,MAN,KG,,,,,,,,,,,19,,,25,32,,,,,,,,,,,,,2109
Tripelsuperfosfaat,,,NL,MAN,KG,,,,,,,,,,,45,,,19,5,,,,,,,,,,,,,2110
Kali 60,,,NL,MAN,KG,,,,,,,,,,,,60,,,,,47.3,,,,,,,,,,,2111
Kaliumsulfaat (standaard),,,NL,MAN,KG,,,,,,,,,,,,50,0.12,1.26,45,0.95,2.5,0.001,,,,0.04,,0.001,,,,2112
Korn-Kali,,,NL,MAN,KG,,,,,,,,,,,,40,6,,12,4,36,,,,,,,,,,,2113
Patentkali,,,NL,MAN,KG,,,,,,,,,,,,30,10,,42,,2.7,,,,,,,,,,,2114
Ammonium-polyfosfaat,,,NL,MAN,LIT,1.38,,10,,,,,,,,34,,0.5,0.2,0.4,,,,,,,0.3,,,,,,2115
NP 18+46 (DAP),,,NL,MAN,KG,,,18,,,,,,,,46.2,,0.8,0.1,3.8,0.1,,,,,,0.8,,,,,,2116
NP 20+34,,,NL,MAN,KG,,,20,,,,,,,,34,,,,,,,,,,,,,,,,,2117
NP 23+23,,,NL,MAN,KG,,,23,,,,,,,,23,,,,,,,,,,,,,,,,,2118
NP 26+14,,,NL,MAN,KG,,,26,,,,,,,,14,,,,,,,,,,,,,,,,,2119
NP 26+7,,,NL,MAN,KG,,,26,,,,,,,,7,,,,,,,,,,,,,,,,,2120
NPK 12+10+18,,,NL,MAN,KG,,,12,,,,,,,,10,18,,7.5,23.2,,2,,,,,,,,,,,2121
NPK 15+12+24,,,NL,MAN,KG,,,15,,,,,,,,12,24,,,1,,,,,,,,,,,,,2122
NPK 15+15+15,,,NL,MAN,KG,,,15,,,,,,,,15,15,,,4,,,,,,,,,,,,,2123
NPK 17+17+17,,,NL,MAN,KG,,,17,,,,,,,,17,17,,,1,,,,,,,,,,,,,2124
NPK 7+14+28,,,NL,MAN,KG,,,7,,,,,,,,14,28,,,25,,,,,,,,,,,,,2125
Kalisalpeter,,,NL,MAN,KG,,,13,,,,,,,,,45,,,,0.67,0.7,,,,,,,,,,,2126
Multi-K,,,NL,MAN,KG,,,13,,,,,,,,,46,,,,,,,,,,,,,,,,2127
Multi-K Mg,,,NL,MAN,KG,,,12,,,,,,,,,42,2,,,,,,,,,,,,,,,2128
Multi-K Mg (1-0-2),,,NL,MAN,KG,,,13,,,,,,,,,26,4,,,,,,,,,,,,,,,2129
Borax (decahydraat),,,NL,MAN,KG,,,,,,,,,,,,,,,0,,0.0001,,,11.3,,0,,,,,,2130
Esta kieseriet+D98,,,NL,MAN,KG,,,,,,,,,,,,,25,,50,,1.5,,,,,,,,,,,2131
Landbouwzout,,,NL,MAN,KG,,,,,,,,,,,,,0.17,5.6,0.1,50,59.9,,,,,0.2,,,,,,2132
Mais-MAP 0,,,NL,MAN,KG,,,20,,,,,,,,,,,,,,,,,0.1,,,,,,,,2133
Mais-MAP 20,,,NL,MAN,KG,,,20,,,,,,,,20,,,,,,,,,0.2,,,,,,,,2134
Mais-MAP 40,,,NL,MAN,KG,,,20,,,,,,,,40,,,,,,,,,0.2,,,,,,,,2135
Mangaansulfaat,,,NL,MAN,KG,,,,,,,,,,,,,,,,,0.02,,,,,0.005,31,,,,,2139
Nakamag,,,NL,MAN,KG,,,,,,,,,,,,11,5,,10,26.9,44,,,,,,,,,,,2140
Tropicote (Kalksalpeter),,,NL,MAN,KG,,,15.5,,,,,,,,,,,26.3,,,,,,,,,,,,,,2141
Optimag,,,NL,MAN,KG,,,20,,,,,,,,,,10,,10,,,,,,,,,,,,,2143
KAS 27% + 4% MgO,,,NL,MAN,KG,,,27,,,,,,,,,,4,6,,,,,,,,,,,,,,2144
NPK 26+0+0,,,NL,MAN,KG,,,26,,,,,,,,,,,,,,,,,,,,,,,,,2145
Ammonsulfaatsalpeter (ASS),,,NL,MAN,KG,,,26,,,,,,,,,,0.3,,35,,,,,,,0.05,,,,,,2146
Mas-super,,,NL,MAN,KG,,,22,,,,,,,,,,7,,,,,,,,,,,,,,,2147
Thomasmeel,,,NL,MAN,KG,,,,,,,,,,,11,,,,,,,,,,,,,,,,,2149
Zacht natuurfosfaat,,,NL,MAN,KG,,,,,,,,,,,27,,,37,,,,,,,,,,,,,,2150
Ruw kalizout,,,NL,MAN,KG,,,,,,,,,,,,15,,,,10,,,,,,,,,,,,2151
Ruw kaliumnatriumzout,,,NL,MAN,KG,,,,,,,,,,,,15,,,,10,,,,,,,,,,,,2152
NP 12+54 (MAP),,,NL,MAN,KG,,,12,,,,,,,,54,,,,,,,,,,,,,,,,,2153
NP 20+20 + 4MgO,,,NL,MAN,KG,,,20,,,,,,,,20,,4,,,,,,,,,,,,,,,2154
NP 11+52 + 0.1B,,,NL,MAN,KG,,,11,,,,,,,,52,,,,,,,,,0.1,,,,,,,,2155
Mono-ammoniumfosfaat,,,NL,MAN,KG,,,10,,,,,,,,50.2,,0.8,0.1,2,0.7,,,,,,0.7,,,,,,2156
NPK 22+6+0+8MgO+16SO3,,,NL,MAN,KG,,,22,,,,,,,,6,,8,,16,,,,,,,,,,,,,2157
NPK 16+10+20 chloorarm,,,NL,MAN,KG,,,16,,,,,,,,10,20,,,17,,,,,,,,,,,,,2158
NPK 14+14+14 chloorarm,,,NL,MAN,KG,,,14,,,,,,,,14,14,,,,,,,,,,,,,,,,2159
NPK 16+8+14+4MgO chloorarm,,,NL,MAN,KG,,,16,,,,,,,,8,14,4,,,,,,,,,,,,,,,2160
NPK 12+5+18+5 MgO,,,NL,MAN,KG,,,12,,,,,,,,5,18,5,,,,,,,,,,,,,,,2161
NPK 20+10+10,,,NL,MAN,KG,,,20,,,,,,,,10,10,,,4,,,,,,,,,,,,,2162
PK 25+25,,,NL,MAN,KG,,,,,,,,,,,25,25,,14.5,4,,,,,,,,,,,,,2164
PK 15+30,,,NL,MAN,KG,,,,,,,,,,,15,30,,15.3,6,,,,,,,,,,,,,2165
Monokaliumfosfaat (MKP),,,NL,MAN,KG,,,,,,,,,,,52,34,,,,,,,,,,,,,,,,2166
PK 20+30,,,NL,MAN,KG,,,,,,,,,,,20,30,,,2,,,,,,,,,,,,,2167
PK 14+24,,,NL,MAN,KG,,,,,,,,,,,14,24,,19.4,16.5,,,,,,,,,,,,,2168
PK 19+19 chloorarm,,,NL,MAN,KG,,,,,,,,,,,19,19,,,,,,,,,,,,,,,,2171
PK 10+25,,,NL,MAN,KG,,,,,,,,,,,10,25,,,,,,,,,,,,,,,,2172
NP 24+14,,,NL,MAN,KG,,,24,,,,,,,,14,,,,,,,,,,,,,,,,,2173
NP 26+26,,,NL,MAN,KG,,,26,,,,,,,,26,,,,,,,,,,,,,,,,,2174
Sulfamag,,,NL,MAN,KG,,,,,,,,,,,,,35,,36.8,,,,,,,,,,,,,2176
Graszout Groen,,,NL,MAN,KG,,,,,,,,,,,,,,,,47.5,54.5,3.5,,,,,,,,,,2177
Graszout Rood,,,NL,MAN,KG,,,,,,,,,,,,,,,,50,57.1,,0.3,,,,,,,,,2178
Calciumchloride,,,NL,MAN,LIT,1.3,,,,,,,,,,,,,16.6,,,21.1,,,,,,,,,,,2179
Dynamon S,,,NL,MAN,KG,,,24,,,,,,,,,,,10.5,15,,,,,,,,,,,,,2180
Calsal (akkerbouw),,,NL,MAN,LIT,1.5,,8.7,,,,,,,,,,,17.5,,,,,,,,,,,,,,2181
Chili borium plus,,,NL,MAN,KG,,,16,,,,,,,,,,,,,35,,,,0.2,,,,,,,,2182
Entec 26,,,NL,MAN,KG,,,26,,,,,,,,,,,,32.5,,,,,,,,,,,,,2183
KAS 24 Zwavel 15 SO3,,,NL,MAN,KG,,,24,,,,,,,,,,,,15,,,,,,,,,,,,,2184
NTS 27N,,,NL,MAN,LIT,1.3,,27,,,,,,,,,,,,7.5,,,,,,,,,,,,,2186
NTS 24N,,,NL,MAN,LIT,,,24,,,,,,,,,,,,15,,,,,,,,,,,,,2187
Bortrac 150,,,NL,MAN,LIT,1.365,,,,,,,,,,,,,,,,,,,11,,,,,,,,2200
Fertichel Borium,,,NL,MAN,LIT,1.35,,,,,,,,,,,,,,,,,,,10,,,,,,,,2201
Maneltra Borium,,,NL,MAN,LIT,,,,,,,,,,,,,,,,,,,,15,,,,,,,,2202
Solubor DF,,,NL,MAN,KG,,,,,,,,,,,,,,,,10,,,,17.4,,,,,,,,2203
